[18:00:10] [INFO] received Windows console close event; shutting log-core down
[18:01:05] [INFO] received Windows console close event; shutting log-core down
[18:03:26] [INFO] received Windows console close event; shutting log-core down
[18:04:06] [INFO] received Windows console close event; shutting log-core down
[18:05:06] [INFO] received Windows console close event; shutting log-core down
[18:05:25] [INFO] received Windows console close event; shutting log-core down
[18:06:36] [INFO] received Windows console close event; shutting log-core down
[18:15:02] [INFO] received Windows console close event; shutting log-core down
[18:52:02] [INFO] received Windows console close event; shutting log-core down
[20:55:53] [INFO] received Windows console close event; shutting log-core down
[22:22:41] [INFO] received Windows console close event; shutting log-core down
[15:49:18] [INFO] received Windows console close event; shutting log-core down
[17:12:40] [INFO] received Windows console close event; shutting log-core down
[22:43:09] [INFO] received Windows console close event; shutting log-core down
[13:48:30] [INFO] received Windows console close event; shutting log-core down
[14:18:20] [INFO] received Windows console close event; shutting log-core down
[14:18:56] [INFO] received Windows console close event; shutting log-core down
[14:57:23] [INFO] received Windows console close event; shutting log-core down
[20:20:38] [INFO] received Windows console close event; shutting log-core down
[21:09:20] [INFO] received Windows console close event; shutting log-core down
[23:13:16] [INFO] received Windows console close event; shutting log-core down
[23:15:06] [INFO] received Windows console close event; shutting log-core down
[23:39:04] [INFO] received Windows console close event; shutting log-core down
[14:33:09] [INFO] received Windows console close event; shutting log-core down
[14:41:36] [INFO] received Windows console close event; shutting log-core down
[17:14:08] [INFO] received Windows console close event; shutting log-core down
[17:33:05] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:34:59] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:38:01] [INFO] received Windows console close event; shutting log-core down
[18:16:55] [INFO] received Windows console close event; shutting log-core down
[01:13:21] [INFO] received Windows console close event; shutting log-core down
[13:54:12] [INFO] received Windows console close event; shutting log-core down
[13:55:55] [INFO] received Windows console close event; shutting log-core down
[17:23:00] [INFO] received Windows console close event; shutting log-core down
[20:22:46] [INFO] received Windows console close event; shutting log-core down
[22:04:16] [INFO] received Windows console close event; shutting log-core down
[01:39:52] [INFO] received Windows console close event; shutting log-core down
[04:17:19] [INFO] received Windows console close event; shutting log-core down
[04:53:43] [INFO] received Windows console close event; shutting log-core down
[05:02:37] [INFO] received Windows console close event; shutting log-core down
[01:48:54] [INFO] received Windows console close event; shutting log-core down
[16:35:56] [INFO] received Windows console close event; shutting log-core down
[18:37:32] [INFO] received Windows console close event; shutting log-core down
[19:40:31] [INFO] received Windows console close event; shutting log-core down
[20:08:56] [INFO] received Windows console close event; shutting log-core down
[21:03:59] [INFO] received Windows console close event; shutting log-core down
[21:19:30] [INFO] received Windows console close event; shutting log-core down
[22:17:44] [INFO] received Windows console close event; shutting log-core down
[22:18:47] [INFO] received Windows console close event; shutting log-core down
[22:21:25] [INFO] received Windows console close event; shutting log-core down
[22:29:25] [INFO] received Windows console close event; shutting log-core down
[23:00:14] [INFO] received Windows console close event; shutting log-core down
[23:04:10] [INFO] received Windows console close event; shutting log-core down
[23:09:50] [INFO] received Windows console close event; shutting log-core down
[23:59:22] [INFO] received Windows console close event; shutting log-core down
[00:00:34] [INFO] received Windows console close event; shutting log-core down
[18:07:03] [INFO] received Windows console close event; shutting log-core down
[19:34:02] [INFO] received Windows console close event; shutting log-core down
[02:21:36] [INFO] received Windows console close event; shutting log-core down
[14:29:59] [INFO] received Windows console close event; shutting log-core down
[15:14:41] [INFO] received Windows console close event; shutting log-core down
[16:30:52] [INFO] received Windows console close event; shutting log-core down
[16:32:44] [INFO] received Windows console close event; shutting log-core down
[16:57:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:02:12] [INFO] received Windows console close event; shutting log-core down
[17:02:32] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:05:58] [INFO] received Windows console close event; shutting log-core down
[17:21:49] [INFO] received Windows console close event; shutting log-core down
[22:16:28] [INFO] received Windows console close event; shutting log-core down
[22:19:53] [INFO] received Windows console close event; shutting log-core down
[22:29:25] [INFO] received Windows console close event; shutting log-core down
[22:34:33] [INFO] received Windows console close event; shutting log-core down
[22:36:15] [INFO] received Windows console close event; shutting log-core down
[00:20:09] [INFO] received Windows console close event; shutting log-core down
[00:28:43] [INFO] received Windows console close event; shutting log-core down
[00:02:47] [INFO] received Windows console close event; shutting log-core down
[00:40:30] [INFO] received Windows console close event; shutting log-core down
[18:02:05] [INFO] received Windows console close event; shutting log-core down
[18:06:22] [INFO] received Windows console close event; shutting log-core down
[18:12:33] [INFO] received Windows console close event; shutting log-core down
[18:17:07] [INFO] received Windows console close event; shutting log-core down
[18:25:23] [INFO] received Windows console close event; shutting log-core down
[18:34:19] [INFO] received Windows console close event; shutting log-core down
[19:31:44] [INFO] received Windows console close event; shutting log-core down
[20:04:35] [INFO] received Windows console close event; shutting log-core down
[21:49:02] [INFO] received Windows console close event; shutting log-core down
[15:57:42] [INFO] received Windows console close event; shutting log-core down
[15:59:27] [INFO] received Windows console close event; shutting log-core down
[16:45:40] [INFO] received Windows console close event; shutting log-core down
[16:57:15] [INFO] received Windows console close event; shutting log-core down
[16:58:45] [INFO] received Windows console close event; shutting log-core down
[17:49:09] [INFO] received Windows console close event; shutting log-core down
[18:09:45] [INFO] received Windows console close event; shutting log-core down
[18:24:17] [INFO] received Windows console close event; shutting log-core down
[22:10:52] [INFO] received Windows console close event; shutting log-core down
[14:31:46] [INFO] received Windows console close event; shutting log-core down
[15:14:08] [INFO] received Windows console close event; shutting log-core down
[15:22:55] [INFO] received Windows console close event; shutting log-core down
[15:46:50] [INFO] received Windows console close event; shutting log-core down
[15:51:55] [INFO] received Windows console close event; shutting log-core down
[16:58:44] [INFO] received Windows console close event; shutting log-core down
[18:23:53] [INFO] received Windows console close event; shutting log-core down
[18:31:11] [INFO] received Windows console close event; shutting log-core down
[18:45:16] [INFO] received Windows console close event; shutting log-core down
[22:25:21] [INFO] received Windows console close event; shutting log-core down
[22:33:39] [INFO] received Windows console close event; shutting log-core down
[01:10:01] [INFO] received Windows console close event; shutting log-core down
[01:11:48] [INFO] received Windows console close event; shutting log-core down
[18:49:36] [INFO] received Windows console close event; shutting log-core down
[19:48:52] [INFO] received Windows console close event; shutting log-core down
[21:43:38] [INFO] received Windows console close event; shutting log-core down
[01:01:06] [INFO] received Windows console close event; shutting log-core down
[01:01:36] [INFO] received Windows console close event; shutting log-core down
[22:29:25] [INFO] received Windows console close event; shutting log-core down
[22:30:10] [INFO] received Windows console close event; shutting log-core down
[00:34:39] [INFO] received Windows console close event; shutting log-core down
[02:37:43] [INFO] received Windows console close event; shutting log-core down
[17:51:51] [INFO] received Windows console close event; shutting log-core down
[20:48:30] [INFO] received Windows console close event; shutting log-core down
[22:01:12] [INFO] received Windows console close event; shutting log-core down
[15:36:34] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[15:49:58] [INFO] received Windows console close event; shutting log-core down
[15:54:20] [INFO] received Windows console close event; shutting log-core down
[16:31:33] [INFO] received Windows console close event; shutting log-core down
[16:33:03] [INFO] received Windows console close event; shutting log-core down
